"source","target","weight","evidence_type"
"POLE2","POLA2",0.000936,"Databases"
"POLE2","GINS1",0.000941,"Experiments"
"POLE2","POLD1",0.000966,"Experiments + Databases"
"POLE2","MCM3",0.000982,"Experiments + Databases"
"BDKRB1","EGF",0.000414,"Text-mining"
"AURKA","ASPM",0.000414,"Experiments"
"AURKA","CCNB1",0.000445,"Text-mining"
"AURKA","FAM83D",0.000457,"Text-mining"
"AURKA","USP21",0.000457,"Experiments"
"AURKA","PTTG1",0.000459,"Experiments"
"AURKA","CDC20",0.00049,"Experiments"
"AURKA","UBE2S",0.000499,"Databases"
"AURKA","RRM2",0.000512,"Text-mining"
"AURKA","CDCA8",0.000599,"Databases"
"AURKA","CCNE2",0.000616,"Experiments"
"AURKA","SCML2",0.000616,"Experiments"
"AURKA","CDK1",0.000654,"Experiments"
"AURKA","AURKB",0.000742,"Experiments + Databases"
"AURKA","CCNB2",0.000769,"Experiments"
"AURKA","UBE2C",0.000778,"Experiments + Databases"
"AURKA","BIRC5",0.000875,"Experiments + Databases"
"AURKA","PLK1",0.000879,"Experiments"
"AURKA","INCENP",0.000936,"Experiments + Databases"
"AURKA","TACC3",0.000984,"Experiments"
"AURKA","MYCN",0.00099,"Experiments"
"AURKA","TPX2",0.000999,"Experiments + Databases"
"PYGB","CEMIP",0.000412,"Text-mining"
"PYGB","S100A1",0.000441,"Text-mining"
"MYBL2","RBL1",0.000489,"Experiments"
"MYBL2","CCNA2",0.000647,"Text-mining"
"MYBL2","LIN37",0.000985,"Experiments + Databases"
"MYBL2","FOXM1",0.00099,"Experiments + Databases"
"MYBL2","LIN9",0.000999,"Experiments + Databases"
"EEF1A2","PFN4",0.000423,"Text-mining"
"EEF1A2","MAPT",0.000457,"Experiments"
"TLDC2","ATP6V1C1",0.000626,"Experiments"
"PIGU","THY1",0.000402,"Experiments"
"PIGU","GPAA1",0.000998,"Experiments + Databases"
"GLA","SORT1",0.000405,"Experiments"
"ORC6","SPAG5",0.000453,"Experiments"
"ORC6","LHX4",0.000491,"Experiments"
"ORC6","MCM8",0.000499,"Databases"
"ORC6","MCM10",0.000499,"Databases"
"ORC6","CCNB1",0.000499,"Databases"
"ORC6","CDK1",0.000499,"Databases"
"ORC6","CLSPN",0.000499,"Databases"
"ORC6","MCM3",0.00065,"Databases"
"ORC6","CDC7",0.000834,"Experiments + Databases"
"ORC6","MCM6",0.000861,"Experiments + Databases"
"ORC6","MCM2",0.000886,"Experiments + Databases"
"ORC6","CDC45",0.000891,"Experiments + Databases"
"ORC6","MCM4",0.000893,"Experiments + Databases"
"ORC6","MCM7",0.000902,"Experiments + Databases"
"ORC6","ORC1",0.000978,"Experiments + Databases"
"ORC6","CDT1",0.000986,"Experiments + Databases"
"AQP8","AQP10",0.000505,"Databases"
