"source","target","weight","evidence_type"
"BARD1","CBX8",9e-04,"Databases"
"BARD1","H4C5",9e-04,"Experiments"
"BARD1","H2BC11",9e-04,"Experiments"
"BARD1","H4C14",9e-04,"Experiments"
"BARD1","H4C12",9e-04,"Experiments"
"BARD1","UBE2C",9e-04,"Databases"
"BARD1","H3C2",9e-04,"Experiments"
"BARD1","H2AC11",0.000903,"Experiments"
"BARD1","UBE2S",0.000942,"Databases"
"BARD1","H2AC13",0.000949,"Experiments + Databases"
"BARD1","RAD51",0.000991,"Experiments + Databases"
"BARD1","BRCA2",0.000994,"Experiments + Databases"
"COL8A1","COL7A1",4e-04,"Databases"
"COL8A1","COL22A1",4e-04,"Databases"
"COL8A1","COL9A1",4e-04,"Databases"
"COL8A1","VWF",0.000442,"Text-mining"
"COL8A1","SERPINH1",0.000526,"Databases"
"COL8A1","COL4A2",0.00054,"Databases"
"COL8A1","COL4A1",0.000599,"Experiments + Databases"
"COL8A1","COL15A1",0.00072,"Databases"
"LMNB1","KIF20A",0.00049,"Experiments"
"LMNB1","BANF2",0.000499,"Text-mining"
"LMNB1","CDK1",0.000506,"Experiments"
"LMNB1","RHOF",0.000552,"Experiments + Databases"
"LMNB1","TMEM201",0.000603,"Text-mining"
"LMNB1","ZWINT",0.000724,"Experiments"
"LMNB1","LMNB2",0.000998,"Experiments + Databases"
"REXO5","PCNA",0.000516,"Experiments + Databases"
"VWF","SPP1",0.000478,"Text-mining"
"TRAF5","TNFRSF4",0.000457,"Experiments"
"TRAF5","RNF31",9e-04,"Databases"
"NDC80","CDT1",0.000497,"Experiments"
"NDC80","CENPH",0.000591,"Experiments"
"NDC80","CENPU",0.000621,"Experiments"
"NDC80","SPDL1",0.00072,"Databases"
"NDC80","SKA3",0.00072,"Databases"
"NDC80","BUB1",0.000725,"Experiments"
"NDC80","CENPF",0.000752,"Databases"
"NDC80","BUB1B",0.000755,"Experiments + Databases"
"NDC80","PLK1",0.000774,"Experiments + Databases"
"NDC80","NEK2",0.000809,"Experiments"
"NDC80","SKA1",0.00083,"Experiments + Databases"
"NDC80","DSN1",0.000836,"Experiments + Databases"
"NDC80","ZWINT",0.000868,"Experiments + Databases"
"NDC80","SPC25",0.000993,"Experiments + Databases"
"NDC80","NUF2",0.000999,"Experiments + Databases"
"NDC80","SPC24",0.000999,"Experiments + Databases"
"PDGFRB","MYCN",0.00042,"Text-mining"
"PDGFRB","EGF",0.00063,"Text-mining"
"PDGFRB","PDGFA",0.000992,"Experiments + Databases"
"MCM4","KIF20A",0.000406,"Experiments"
"MCM4","L3MBTL1",0.00042,"Experiments"
"MCM4","H3C10",0.000439,"Experiments"
"MCM4","PLK1",0.000457,"Experiments"
"MCM4","RECQL4",0.000457,"Experiments"
"MCM4","FANCD2",0.000457,"Experiments"
"MCM4","TONSL",0.000457,"Experiments"
"MCM4","MMS22L",0.000491,"Experiments"
"MCM4","MCMDC2",0.000506,"Experiments"
"MCM4","ASF1B",0.000611,"Experiments"
"MCM4","PCNA",0.000619,"Experiments"
"MCM4","WDHD1",0.000896,"Experiments"
"MCM4","CLSPN",0.000899,"Experiments + Databases"
"MCM4","ORC1",0.000931,"Experiments + Databases"
"MCM4","CDT1",0.000961,"Experiments + Databases"
"MCM4","CDC7",0.000966,"Experiments + Databases"
"MCM4","MCM8",0.000979,"Experiments + Databases"
"MCM4","GINS1",0.000979,"Experiments + Databases"
"MCM4","MCM10",0.00098,"Experiments + Databases"
"MCM4","GINS3",0.000985,"Experiments + Databases"
"MCM4","CDC45",0.000987,"Experiments + Databases"
"MCM4","GINS4",0.000991,"Experiments + Databases"
"MCM4","MCM6",0.000999,"Experiments + Databases"
"MCM4","MCM3",0.000999,"Experiments + Databases"
"MCM4","MCM7",0.000999,"Experiments + Databases"
"MCM4","MCM2",0.000999,"Experiments + Databases"
"CACNG4","ADAM23",0.000499,"Databases"
"CACNG4","GRIK4",0.00054,"Databases"
"CACNG4","GRIN2C",0.00072,"Databases"
"CACNG4","CNIH2",0.00072,"Databases"
"CACNG4","CATSPER2",0.00072,"Databases"
"CACNG4","GRIN2A",0.00072,"Databases"
"CACNG4","CACNA1E",0.000896,"Databases"
"CACNG4","CACNB4",9e-04,"Databases"
"PRR11","PRDM15",0.000451,"Experiments"
"PKMYT1","CCNB2",0.000584,"Experiments"
"PKMYT1","CCNA2",0.000595,"Experiments"
"PKMYT1","CKS1B",0.000596,"Experiments"
"PKMYT1","PLK1",0.000632,"Experiments"
"PKMYT1","CKS2",0.00065,"Experiments"
"PKMYT1","CDK1",0.000668,"Experiments"
"CHTF18","POLD1",0.000417,"Experiments"
"CHTF18","DDX11",0.000483,"Experiments"
"CHTF18","E2F1",0.000633,"Text-mining"
"CHTF18","ATAD5",0.000809,"Text-mining"
"CHTF18","PCNA",0.000834,"Experiments + Databases"
"CHTF18","RFC3",0.000985,"Experiments + Databases"
"CHTF18","RFC4",0.000987,"Experiments + Databases"
"CHTF18","DSCC1",0.000999,"Experiments + Databases"
"GINS1","MCM10",0.000598,"Experiments"
"GINS1","CLSPN",8e-04,"Experiments"
"GINS1","WDHD1",0.000916,"Experiments"
"GINS1","MCM6",0.000973,"Experiments + Databases"
"GINS1","MCM2",0.000974,"Experiments + Databases"
"GINS1","MCM3",0.000974,"Experiments + Databases"
"GINS1","MCM7",0.000989,"Experiments + Databases"
"GINS1","CDC45",0.000996,"Experiments + Databases"
"GINS1","GINS3",0.000999,"Experiments + Databases"
"GINS1","GINS4",0.000999,"Experiments + Databases"
"CCNE1","MCM7",0.000407,"Text-mining"
"CCNE1","CALML6",0.000407,"Text-mining"
"CCNE1","E2F1",0.000411,"Experiments"
"CCNE1","CDC25A",0.000457,"Experiments"
"CCNE1","FOXM1",0.000457,"Experiments"
"CCNE1","LIN37",0.000477,"Experiments"
"CCNE1","CCT3",0.000499,"Databases"
"CCNE1","E2F5",0.000499,"Databases"
"CCNE1","E2F2",0.00054,"Text-mining"
"CCNE1","CDT1",0.000551,"Experiments"
"CCNE1","RBL1",0.00063,"Experiments + Databases"
"CCNE1","PCNA",0.000651,"Experiments"
"CCNE1","CKS2",0.000664,"Experiments"
"CCNE1","CDK1",0.000738,"Experiments"
"CCNE1","CCNA2",0.000759,"Databases"
"CCNE1","CKS1B",0.000804,"Experiments + Databases"
"CCNE1","CCNE2",0.000946,"Databases"
"CBFA2T2","TCF3",0.000436,"Text-mining"
"CDKN2C","CDKN2B",0.000454,"Experiments"
"CDKN2C","CDKN2A",0.000492,"Experiments"
"TCF3","DNMT1",0.000405,"Text-mining"
"TCF3","SOX2",0.000457,"Experiments"
"TCF3","EBF1",0.000647,"Text-mining"
"TCF3","MESP2",0.000652,"Experiments"
"TCF3","TAL2",0.000684,"Experiments"
"KIF18A","KIF21B",0.00054,"Databases"
"KIF18A","KIF5A",0.00054,"Databases"
"KIF18A","KIF20A",0.00054,"Databases"
"KIF18A","KIFC2",0.00054,"Databases"
"KIF18A","KIF18B",0.00054,"Databases"
"KIF18A","KIF15",0.00054,"Databases"
"KIF18A","KLC2",0.00054,"Databases"
"KIF18A","KIFC1",0.00061,"Databases"
"KIF18A","KIF14",0.000633,"Databases"
"KIF18A","CENPE",0.000821,"Databases"
"KIF18A","KIF2C",0.000847,"Databases"
"LIG1","RFC3",0.000499,"Databases"
"LIG1","POLD1",0.000554,"Databases"
"LIG1","EHMT2",0.000674,"Experiments"
"LIG1","RFC4",0.000685,"Databases"
"LIG1","UHRF1",0.00096,"Experiments"
"LIG1","FEN1",0.000969,"Experiments"
"LIG1","PCNA",0.000995,"Experiments + Databases"
"NOX4","DUOX2",0.000899,"Databases"
"NOX4","DUOX1",0.00099,"Databases"
"ASF1B","MCM7",0.000433,"Experiments"
"ASF1B","H3C2",0.000558,"Experiments"
"ASF1B","H3C10",0.000595,"Experiments"
"ASF1B","MMS22L",0.000602,"Experiments"
"ASF1B","MCM6",0.000627,"Experiments"
"ASF1B","CHAF1A",0.000667,"Experiments"
"ASF1B","TONSL",0.000743,"Experiments"
"ASF1B","CHAF1B",0.000848,"Experiments"
"ASF1B","H4C5",0.000921,"Experiments"
"ASF1B","H4C8",0.000921,"Experiments"
"ASF1B","H4C12",0.000921,"Experiments"
"ASF1B","H4C14",0.000967,"Experiments"
"ASF1B","MCM2",0.00097,"Experiments"
"NOTCH3","DNM3",0.000403,"Text-mining"
"NOTCH3","EGF",0.000516,"Databases"
"NOTCH3","DLK1",0.000606,"Text-mining"
"NOTCH3","TACC3",9e-04,"Databases"
"NOTCH3","JAG2",0.000998,"Experiments + Databases"
"ARID3A","SOX2",0.00042,"Experiments"
"ARID3A","E2F1",0.000518,"Experiments"
"LHX4","SSX1",0.000473,"Experiments"
"LHX4","LHX3",0.000767,"Experiments + Databases"
"LHX4","ISL2",0.000878,"Experiments"
"SGO1","BUB1B",0.00044,"Experiments"
"SGO1","AURKB",0.00049,"Experiments"
"SGO1","CDCA8",0.000933,"Experiments"
"WDR76","CCT3",0.000457,"Experiments"
"WDR76","EPPK1",0.000457,"Experiments"
"WDR76","DBN1",0.000457,"Experiments"
"WDR76","HELLS",0.000817,"Experiments"
"MCAM","RHOF",0.000557,"Experiments + Databases"
"TUBB4A","H3C2",0.000424,"Text-mining"
"TUBB4A","H3C10",0.000424,"Text-mining"
"TUBB4A","H3C6",0.000424,"Text-mining"
"TUBB4A","TUBA3C",0.000496,"Experiments + Databases"
"TUBB4A","PFDN6",0.000499,"Databases"
"TUBB4A","CCT3",0.000529,"Experiments + Databases"
"TUBB4A","DYNC1I1",0.000743,"Experiments + Databases"
"MCM6","H2AX",0.00042,"Experiments"
"MCM6","CDC20",0.000446,"Text-mining"
"MCM6","TONSL",0.000457,"Experiments"
"MCM6","RECQL4",0.000457,"Experiments"
"MCM6","PLK1",0.000457,"Experiments"
"MCM6","CDKN2A",0.000497,"Experiments"
"MCM6","MMS22L",0.000597,"Experiments"
"MCM6","CDC7",0.000839,"Experiments + Databases"
"MCM6","WDHD1",0.000889,"Experiments"
"MCM6","CLSPN",0.000895,"Experiments + Databases"
"MCM6","ORC1",0.00091,"Experiments + Databases"
"MCM6","MCM10",0.000944,"Experiments + Databases"
"MCM6","GINS4",0.00098,"Experiments + Databases"
"MCM6","MCM8",0.000981,"Experiments + Databases"
"MCM6","GINS3",0.000989,"Experiments + Databases"
"MCM6","CDC45",0.000996,"Experiments + Databases"
"MCM6","MCM7",0.000999,"Experiments + Databases"
"MCM6","MCM3",0.000999,"Experiments + Databases"
"MCM6","CDT1",0.000999,"Experiments + Databases"
"MCM6","MCM2",0.000999,"Experiments + Databases"
"POLQ","POLD1",0.000448,"Text-mining"
"POLQ","FEN1",0.000499,"Databases"
"ADAM23","LGI3",0.000814,"Databases"
"UBE2S","PLK1",0.000499,"Databases"
"UBE2S","AURKB",0.000499,"Databases"
"UBE2S","CDK1",0.000499,"Databases"
"UBE2S","EHMT2",0.000499,"Databases"
"UBE2S","PTTG1",0.000499,"Databases"
"UBE2S","CCNA2",0.000499,"Databases"
"UBE2S","NEK2",0.000499,"Databases"
"UBE2S","MAD2L1",0.000499,"Databases"
"UBE2S","CDC20B",0.00054,"Databases"
"UBE2S","BRCA2",0.00072,"Databases"
"UBE2S","RAD51",0.00072,"Databases"
"UBE2S","BUB1B",0.00076,"Databases"
"UBE2S","CBX8",9e-04,"Databases"
"UBE2S","CBX2",9e-04,"Databases"
"UBE2S","CUL7",9e-04,"Databases"
"UBE2S","CDC20",0.000919,"Experiments + Databases"
"UBE2S","UBE2C",0.000967,"Experiments + Databases"
"NEIL3","H2BC17",0.000499,"Databases"
"NEIL3","H2BC9",0.000499,"Databases"
"NEIL3","H2AZ1",0.000499,"Databases"
"NEIL3","H2AX",0.000499,"Databases"
"NEIL3","H2BC15",0.000499,"Databases"
"NEIL3","H2BC11",0.000499,"Databases"
"DNMT3A","FEN1",0.00044,"Text-mining"
"DNMT3A","H2BC17",0.000499,"Databases"
"DNMT3A","H2BC11",0.000499,"Databases"
"DNMT3A","H2BC15",0.000499,"Databases"
"DNMT3A","H2BC9",0.000499,"Databases"
"DNMT3A","H2AX",0.00063,"Experiments + Databases"
"DNMT3A","H2AZ1",0.00063,"Experiments + Databases"
"DNMT3A","HELLS",0.000641,"Text-mining"
"DNMT3A","NR6A1",0.000672,"Text-mining"
"DNMT3A","UHRF1",0.000757,"Experiments"
"DNMT3A","H3C2",0.000902,"Experiments"
"DNMT3A","H3C6",0.000902,"Experiments"
"DNMT3A","H3C10",0.000902,"Experiments"
"DNMT3A","EHMT2",0.000981,"Experiments"
"DNMT3A","DNMT1",0.000989,"Experiments + Databases"
"DNMT3A","EZH2",0.000994,"Experiments + Databases"
"DNMT3A","DNMT3B",0.000994,"Experiments + Databases"
"SLC9A3","MAST2",0.000472,"Experiments"
"MCM2","MCMDC2",0.000436,"Experiments"
"MCM2","FANCD2",0.000457,"Experiments"
"MCM2","L3MBTL1",0.000457,"Experiments"
"MCM2","RECQL4",0.000578,"Experiments"
"MCM2","CCNB2",0.00062,"Experiments"
"MCM2","MMS22L",0.000631,"Experiments"
"MCM2","CDKN2A",0.000721,"Experiments"
"MCM2","WDHD1",0.000887,"Experiments"
"MCM2","H4C14",9e-04,"Experiments"
"MCM2","H4C8",9e-04,"Experiments"
"MCM2","H4C5",9e-04,"Experiments"
"MCM2","H3C6",9e-04,"Experiments"
"MCM2","CDC7",0.000917,"Experiments + Databases"
"MCM2","MCM10",0.000917,"Experiments + Databases"
"MCM2","TONSL",0.000918,"Experiments"
"MCM2","H4C12",0.00092,"Experiments"
"MCM2","H3C2",0.000928,"Experiments"
"MCM2","ORC1",0.000939,"Experiments + Databases"
"MCM2","H3C10",0.000941,"Experiments"
"MCM2","MCM8",0.000941,"Experiments + Databases"
"MCM2","CLSPN",0.000954,"Experiments + Databases"
"MCM2","CDT1",0.000955,"Experiments + Databases"
"MCM2","GINS3",0.000991,"Experiments + Databases"
"MCM2","GINS4",0.000993,"Experiments + Databases"
"MCM2","CDC45",0.000995,"Experiments + Databases"
"MCM2","MCM3",0.000998,"Experiments + Databases"
"MCM2","MCM7",0.000999,"Experiments + Databases"
"RASGRF2","ACTN2",4e-04,"Databases"
"RASGRF2","GRIN2A",0.000662,"Text-mining"
"RASGRF2","RASGRF1",0.000922,"Databases"
"CENPE","KIF20A",0.000413,"Experiments"
"CENPE","ZWINT",0.000453,"Text-mining"
"CENPE","CENPI",0.000502,"Text-mining"
"CENPE","CCNB2",0.00056,"Text-mining"
"CENPE","CENPA",0.000655,"Text-mining"
"CENPE","PRC1",0.000662,"Experiments"
"CENPE","AURKB",0.000674,"Text-mining"
"CENPE","NUF2",0.000712,"Experiments"
"CENPE","BIRC5",0.000721,"Text-mining"
"CENPE","BUB1",0.000781,"Experiments"
"CENPE","CENPF",0.000881,"Experiments"
"CENPE","KIF2C",0.00089,"Databases"
"CENPE","BUB1B",0.000989,"Experiments"
"LEF1","MSX1",0.000434,"Text-mining"
"LEF1","TERT",0.000499,"Databases"
"LEF1","E2F1",0.000565,"Experiments"
"LEF1","TEAD2",8e-04,"Databases"
"LEF1","PYGO2",0.000834,"Databases"
"EGF","WNT3A",0.000528,"Text-mining"
"EGF","NRG2",0.000553,"Databases"
"EGF","FGF13",0.000805,"Text-mining"
"EGF","PDGFA",9e-04,"Databases"
"SPDL1","PLK1",0.00072,"Databases"
"SPDL1","SKA3",9e-04,"Databases"
"SPDL1","BUB1B",9e-04,"Databases"
"SPDL1","SKA1",9e-04,"Databases"
"SPDL1","CENPF",9e-04,"Databases"
"POLA2","DNA2",0.000499,"Databases"
"POLA2","RFC4",0.000504,"Experiments + Databases"
"POLA2","RFC3",0.000584,"Experiments + Databases"
"POLA2","MCM3",0.00072,"Databases"
"POLA2","PCNA",0.00072,"Databases"
"POLA2","POLG2",9e-04,"Databases"
"POLA2","POLD1",0.000956,"Experiments + Databases"
"POLA2","PRIM1",0.000999,"Experiments + Databases"
"POLA2","PRIM2",0.000999,"Experiments + Databases"
"ANLN","DBN1",0.00042,"Experiments"
"ANLN","TPM2",0.00042,"Experiments"
"ANLN","IQGAP3",0.000457,"Experiments"
"ANLN","ECT2",0.000831,"Experiments"
"ANLN","DIAPH3",0.000911,"Text-mining"
"ANLN","RACGAP1",0.000941,"Experiments"
"ANKRD52","FOXK1",0.000402,"Experiments"
"RHOF","BAIAP2L2",0.000501,"Experiments + Databases"
"RHOF","ARHGAP39",0.00055,"Experiments + Databases"
"RHOF","DIAPH3",0.00056,"Experiments + Databases"
"TICRR","CDC45",0.000525,"Text-mining"
"TICRR","MCM10",0.00079,"Text-mining"
"TICRR","RECQL4",0.000858,"Text-mining"
"TICRR","MTBP",0.000932,"Experiments"
"MFGE8","BTNL8",0.000475,"Text-mining"
"NKD1","PPP4R3C",0.00054,"Databases"
"NKD1","PPP2R2C",0.00054,"Databases"
"NKD1","PPP2R3B",0.00072,"Databases"
"CDH13","CDH24",0.00054,"Databases"
"CDH13","APC2",0.00054,"Databases"
"CDH13","CTNNA2",0.000547,"Databases"
"CDH13","CDH8",0.000625,"Databases"
"CPNE7","EBF3",0.000533,"Experiments"
"CBX8","H2BC15",0.000499,"Databases"
"CBX8","H2AZ1",0.000499,"Databases"
"CBX8","H2BC9",0.000499,"Databases"
"CBX8","H2AX",0.000499,"Databases"
"CBX8","H2BC17",0.000499,"Databases"
"CBX8","H2BC11",0.000499,"Databases"
"CBX8","CDC20B",0.00054,"Databases"
"CBX8","CDC20",0.00054,"Databases"
"CBX8","RAD51",0.00072,"Databases"
"CBX8","BUB1B",0.00072,"Databases"
"CBX8","BRCA2",0.00072,"Databases"
"CBX8","EZH2",9e-04,"Databases"
"CBX8","UBE2C",9e-04,"Databases"
"CBX8","CUL7",9e-04,"Databases"
"CBX8","CBX2",0.000997,"Experiments + Databases"
"CEP131","CEP152",0.00042,"Experiments"
"SMG9","DHX34",0.00045,"Text-mining"
"PLK4","RACGAP1",0.000445,"Text-mining"
"PLK4","BUB1B",0.000447,"Text-mining"
"PLK4","PLK1",0.000496,"Experiments"
"PLK4","CDK1",0.000582,"Text-mining"
"PLK4","PFN4",0.000623,"Text-mining"
"PLK4","ECT2",0.000658,"Experiments"
"PLK4","SASS6",0.000813,"Experiments + Databases"
"PLK4","STIL",0.000994,"Experiments + Databases"
"PLK4","CEP152",0.000997,"Experiments + Databases"
"NUF2","SLCO6A1",0.000422,"Text-mining"
"NUF2","CENPA",0.000474,"Text-mining"
"NUF2","AURKB",0.000581,"Experiments"
"NUF2","BUB1",0.000725,"Experiments"
"NUF2","DSN1",0.000834,"Experiments + Databases"
"NUF2","ZWINT",0.000868,"Experiments + Databases"
"NUF2","CENPH",0.000872,"Experiments"
"NUF2","SPC25",0.000987,"Experiments + Databases"
"NUF2","SPC24",0.000999,"Experiments + Databases"
"SF3B4","SCNM1",8e-04,"Experiments"
"SF3B4","SNRPE",0.000991,"Experiments + Databases"
"SF3B4","SNRPB",0.000992,"Experiments + Databases"
"C1orf35","FAM133A",0.000432,"Experiments"
"ATP6V1C2","ATP6V0D2",0.000757,"Experiments + Databases"
"ATP6V1C2","ATP6V1C1",0.000962,"Experiments + Databases"
"MMS22L","ESCO2",0.000696,"Experiments"
"MMS22L","TONSL",0.00099,"Experiments"
"CDCA5","CDCA8",0.000448,"Text-mining"
"CDCA5","BIRC5",0.000566,"Text-mining"
"CDCA5","CCNB2",0.000568,"Text-mining"
"CDCA5","AURKB",0.000787,"Text-mining"
"CDCA5","CDK1",0.000826,"Experiments"
"GINS4","POLD1",0.000452,"Experiments"
"GINS4","RECQL4",0.000531,"Experiments"
"GINS4","MCM10",0.000569,"Experiments"
"GINS4","CLSPN",8e-04,"Experiments"
"GINS4","WDHD1",0.000976,"Experiments"
"GINS4","MCM3",0.000986,"Experiments + Databases"
"GINS4","MCM7",0.000991,"Experiments + Databases"
"GINS4","CDC45",0.000999,"Experiments + Databases"
"GINS4","GINS3",0.000999,"Experiments + Databases"
"CDKN2B","CDKN2A",0.000941,"Experiments + Databases"
"SLC7A11","SLC7A6",0.000699,"Databases"
"MYCN","E2F1",0.000629,"Text-mining"
"MYCN","EZH2",0.000843,"Experiments"
"CENPU","HJURP",0.000499,"Databases"
"CENPU","H2BC6",8e-04,"Experiments"
"CENPU","H4C14",8e-04,"Experiments"
"CENPU","H4C12",8e-04,"Experiments"
"CENPU","H4C8",8e-04,"Experiments"
"CENPU","H4C5",8e-04,"Experiments"
"CENPU","H2BC8",8e-04,"Experiments"
"CENPU","CENPA",0.000962,"Experiments + Databases"
"CENPU","PLK1",0.000962,"Experiments"
"CENPU","CENPL",0.000987,"Experiments + Databases"
"CENPU","CENPW",0.000987,"Experiments + Databases"
"CENPU","CENPK",0.000994,"Experiments + Databases"
"CENPU","CENPO",0.000997,"Experiments + Databases"
"CENPU","CENPH",0.000997,"Experiments + Databases"
"CENPU","CENPI",0.000998,"Experiments + Databases"
"TNFSF4","TNFRSF18",0.000405,"Text-mining"
"TNFSF4","TNFRSF4",0.000999,"Experiments + Databases"
"SPC25","BUB1",0.000725,"Experiments"
"SPC25","DSN1",0.000842,"Experiments + Databases"
"SPC25","ZWINT",0.000868,"Experiments + Databases"
"SPC25","SPC24",0.000982,"Experiments + Databases"
"CCNO","CKS2",0.000504,"Experiments"
"CCNO","CKS1B",0.000507,"Experiments"
"CCNO","CDK1",0.000546,"Experiments"
"CCNO","CCNA2",0.000559,"Databases"
"CCNO","PCNA",0.000605,"Experiments"
"CENPH","HJURP",0.00068,"Databases"
"CENPH","H2BC8",8e-04,"Experiments"
"CENPH","H4C5",8e-04,"Experiments"
"CENPH","H4C8",8e-04,"Experiments"
"CENPH","H4C14",8e-04,"Experiments"
"CENPH","H4C12",8e-04,"Experiments"
"CENPH","H2BC6",8e-04,"Experiments"
"CENPH","CENPA",0.000984,"Experiments + Databases"
"CENPH","CENPW",0.000989,"Experiments + Databases"
"CENPH","CENPL",0.000992,"Experiments + Databases"
"CENPH","CENPO",0.000996,"Experiments + Databases"
"CENPH","CENPI",0.000999,"Experiments + Databases"
"CENPH","CENPK",0.000999,"Experiments + Databases"
"LPCAT1","PAFAH1B3",9e-04,"Databases"
"GDPD1","GDPD3",9e-04,"Databases"
"UCHL1","USP21",0.000438,"Experiments"
"UCHL1","CDK1",0.000467,"Experiments"
"UCHL1","CDKN2A",0.000721,"Experiments"
"WNT3A","SFRP4",0.000528,"Experiments"
"WNT3A","DLX5",0.00057,"Text-mining"
"WNT3A","PTK7",0.000779,"Experiments"
"WNT3A","GPC3",0.000805,"Text-mining"
"SKA1","PPP2R2C",0.000539,"Experiments"
"SKA1","PLK1",0.00072,"Databases"
"SKA1","BUB1B",9e-04,"Databases"
"SKA1","CENPF",9e-04,"Databases"
"SKA1","SKA3",0.000999,"Experiments + Databases"
"RAB6B","DYNC1I1",0.000499,"Databases"
"RAB6B","BICD1",0.000499,"Databases"
"RAB6B","CHML",0.000583,"Experiments + Databases"
"RAB6B","KIF20A",0.000592,"Experiments"
"ATP6V0D2","ATP6V1C1",0.000869,"Experiments + Databases"
"NAA11","NAA10",0.000934,"Experiments + Databases"
"CD109","PKM",0.000404,"Text-mining"
"ATAD2","PSMD4",0.000402,"Experiments"
"ATAD2","H4C12",9e-04,"Experiments"
"ATAD2","H4C5",9e-04,"Experiments"
"ATAD2","H4C8",9e-04,"Experiments"
"ATAD2","H4C14",0.000926,"Experiments"
"NSMCE2","SMC1B",0.000421,"Experiments"
"SASS6","CEP152",0.000598,"Experiments + Databases"
"SASS6","STIL",0.000962,"Experiments + Databases"
"BUB1B","PTTG1",0.000423,"Experiments"
"BUB1B","ECT2",0.000426,"Text-mining"
"BUB1B","DSN1",0.000428,"Experiments"
"BUB1B","CDCA2",0.000439,"Text-mining"
"BUB1B","CENPA",0.000535,"Text-mining"
"BUB1B","KIF2C",0.000575,"Text-mining"
"BUB1B","CDCA8",0.000576,"Text-mining"
"BUB1B","BIRC5",0.000592,"Text-mining"
"BUB1B","CDC20B",0.000716,"Experiments + Databases"
"BUB1B","CCNB2",0.00072,"Text-mining"
"BUB1B","RAD51",0.00072,"Databases"
"BUB1B","CBX2",0.00072,"Databases"
"BUB1B","CUL7",0.00072,"Databases"
"BUB1B","CCNA2",0.000824,"Experiments + Databases"
"BUB1B","UBE2C",0.000826,"Experiments + Databases"
"BUB1B","BRCA2",0.000841,"Experiments + Databases"
"BUB1B","NEK2",0.000861,"Experiments + Databases"
"BUB1B","ZWINT",0.000863,"Experiments"
"BUB1B","SKA3",9e-04,"Databases"
"BUB1B","PLK1",0.000947,"Experiments + Databases"
"BUB1B","AURKB",0.000953,"Experiments"
"BUB1B","CENPF",0.000972,"Databases"
"BUB1B","CDK1",0.000979,"Databases"
"BUB1B","BUB1",0.000994,"Experiments"
"BUB1B","MAD2L1",0.000999,"Experiments + Databases"
"BUB1B","CDC20",0.000999,"Experiments + Databases"
"FANCD2","CHEK1",0.000457,"Experiments"
"FANCD2","BLM",0.000457,"Experiments"
"FANCD2","MCM3",0.000457,"Experiments"
"FANCD2","PCNA",0.000457,"Experiments"
"FANCD2","H2AX",0.000475,"Experiments"
"FANCD2","EME1",0.000499,"Databases"
"FANCD2","EME2",0.000499,"Databases"
"FANCD2","FAAP24",0.000499,"Databases"
"FANCD2","MCM7",5e-04,"Experiments"
"FANCD2","POLD1",0.00054,"Databases"
"FANCD2","XRCC3",0.000553,"Text-mining"
"FANCD2","UHRF1",0.000567,"Experiments"
"FANCD2","POLN",0.000748,"Experiments + Databases"
"FANCD2","FANCB",0.000895,"Experiments + Databases"
"FANCD2","UBE2T",0.000925,"Experiments + Databases"
"FANCD2","RAD51",0.00095,"Experiments"
"FANCD2","FANCA",0.000969,"Experiments + Databases"
"FANCD2","FANCG",0.000985,"Experiments + Databases"
"FANCD2","BRCA2",0.000995,"Experiments + Databases"
"FANCD2","FANCI",0.000999,"Experiments + Databases"
"CCNB2","E2F1",0.000427,"Text-mining"
"CCNB2","CENPA",0.000477,"Text-mining"
"CCNB2","ZWINT",0.000512,"Text-mining"
"CCNB2","PLK1",0.000542,"Text-mining"
"CCNB2","RRM2",0.000555,"Text-mining"
"CCNB2","MELK",0.000587,"Text-mining"
"CCNB2","CCNA2",0.000596,"Text-mining"
"CCNB2","CDCA8",0.000602,"Text-mining"
"CCNB2","DIAPH3",0.000622,"Experiments"
"CCNB2","CKS1B",0.000649,"Experiments"
"CCNB2","CKS2",0.000693,"Experiments"
"CCNB2","BIRC5",0.000698,"Text-mining"
"CCNB2","CCNE2",0.000723,"Experiments"
"CCNB2","AURKB",0.000726,"Text-mining"
"CCNB2","BUB1",0.000831,"Text-mining"
"CCNB2","CDK1",0.000999,"Experiments + Databases"
"ERC2","PPFIA4",0.000402,"Experiments"
"ERC2","UNC13A",0.000597,"Experiments"
"ERC2","CALML6",0.000847,"Text-mining"
"IGF2BP1","IGF2BP2",0.000505,"Experiments"
"IGF2BP1","IGF2",0.000967,"Text-mining"
"RFX5","RFXANK",0.000999,"Experiments + Databases"
"ISL2","LHX3",0.000878,"Experiments"
"HSF2BP","BRCA2",0.000912,"Experiments"
"PKN3","PKN1",9e-04,"Databases"
"S100A1","CACYBP",0.00043,"Experiments"
"S100A1","S100P",0.000637,"Experiments"
"S100A1","S100A3",0.000638,"Experiments"
"S100A1","ANXA2",0.000888,"Text-mining"
"GPC2","GPC3",0.000596,"Text-mining"
"GPC2","MDK",0.000702,"Text-mining"
"GRIN2C","ACTN2",0.000499,"Databases"
"GRIN2C","GRIK4",0.000552,"Databases"
"GRIN2C","CNIH2",0.00072,"Databases"
"GRIN2C","GRIN2A",0.000998,"Databases"
"SPINDOC","H3C2",8e-04,"Experiments"
"SPINDOC","H3C6",8e-04,"Experiments"
"SPINDOC","H3C10",8e-04,"Experiments"
