"node_id","MCC","Degree","Closeness","Betweenness","Avg_Rank"
"TAL2",0,1,0.203258,0,334.5
"DBF4B",0,1,0.202913,0,335.25
"CACNA1E",0,3,0.161717,0,336.75
"CATSPER2",0,3,0.161717,0,336.75
"PKN3",0,1,0.201684,0,337
"KLK4",0,1,0.201548,0,337.25
"KPNA7",0,1,0.201548,0,337.25
"NSMCE2",0,1,0.20148,0,338
"ANXA2R",0,1,0.200067,0,339
"ESM1",0,1,0.199933,0,339.25
"FGF12",0,2,0.175146,0,340.75
"CNR1",0,1,0.198148,0,341.5
"DAPK2",0,1,0.198148,0,341.5
"STRA6",0,1,0.198148,0,341.5
"PLA2G6",0,1,0.198148,0,341.5
"GPC2",0,2,0.159648,0.000179,344
"IQGAP3",0,1,0.193475,0,344.5
"ADRA2C",0,2,0.171978,0,345.25
"TEAD2",0,1,0.192049,0,346.25
"DLK1",0,1,0.191435,0,347.5
"ABCB5",0,1,0.19034,0,348.5
"EFNA3",0,3,0.135582,0,350.5
"EPHA10",0,3,0.135582,0,350.5
"C1QTNF6",0,1,0.187539,0,350.5
"EFNA4",0,3,0.135582,0,350.5
"RPL22L1",0,1,0.185967,0,351.25
"NOL12",0,1,0.185967,0,351.25
"BOP1",0,1,0.185967,0,351.25
"E2F8",0,1,0.185794,0,352
"C1orf35",0,1,0.184762,0,352.75
"MPP3",0,1,0.184194,0,353.5
"MNS1",0,2,0.160676,0,354.75
"CFAP53",0,2,0.160676,0,354.75
"TESMIN",0,1,0.183968,0,355
"CD109",0,1,0.183405,0,355.5
"FBLIM1",0,1,0.182901,0,356
"OSR2",0,1,0.1824,0,356.25
"CDCA4",0,1,0.181901,0,356.5
"MTBP",0,1,0.18168,0,356.75
"EPPK1",0,1,0.181241,0,357
"SSX1",0,1,0.179395,0,357.75
"FHDC1",0,1,0.17838,0,359.25
"NES",0,1,0.178062,0,360
"MYO18B",0,1,0.177167,0,360.5
"DKK4",0,2,0.147646,0,360.75
"KREMEN2",0,2,0.147646,0,360.75
"CEP131",0,1,0.176748,0,361
"NAA11",0,1,0.176488,0,361.25
"TNFSF4",0,2,0.145884,3e-06,361.75
"SYN3",0,2,0.144756,0,362.75
"CPLX2",0,2,0.144721,0,363
"VAMP1",0,2,0.144721,0,363
"PLXNC1",0,2,0.14114,0,365.5
"SEMA6C",0,2,0.14114,0,365.5
"APLN",0,1,0.172921,0,365.5
"SEMA5B",0,2,0.14114,0,365.5
"F2RL3",0,1,0.171584,0,367.75
"PLCB1",0,1,0.171584,0,367.75
"GLP1R",0,1,0.171584,0,367.75
"BDKRB1",0,1,0.171045,0,368.5
"LOX",0,1,0.171045,0,368.5
"TTLL4",0,1,0.170753,0,369
"ANKRD52",0,1,0.17017,0,369.75
"S100P",0,1,0.167787,0,370.75
"S100A3",0,1,0.167787,0,370.75
"HTR1D",0,1,0.166852,0,371.5
"RNF24",0,1,0.165515,0,372
"NUPR1",0,1,0.163661,0,373.25
"TBX4",0,1,0.162243,0,374.25
"IBSP",0,1,0.162067,0,375
"IRAK1",0,1,0.162067,0,375
"SAPCD1",0,1,0.160375,0,377
"JPT1",0,1,0.155504,0,378.25
"ACTL8",0,1,0.155504,0,378.25
"RAB24",0,1,0.1547,0,378.75
"RAB3B",0,1,0.1547,0,378.75
"DRP2",0,1,0.152224,0,379.5
"PPEF1",0,1,0.149339,0,380.5
"FZD10",0,1,0.149228,0,381
"SFRP4",0,1,0.149228,0,381
"PTK7",0,1,0.149228,0,381
"CLVS1",0,1,0.147755,0,382
"AP5Z1",0,1,0.147755,0,382
"OR51E1",0,1,0.146958,0,383
"OR51E2",0,1,0.146958,0,383
"GLDN",0,1,0.14685,0,383.5
"CNTNAP4",0,1,0.14685,0,383.5
"CAP2",0,1,0.146634,0,384
"STXBP6",0,1,0.144686,0,385.25
"GAD1",0,1,0.144686,0,385.25
"SYP",0,1,0.144686,0,385.25
"PACC1",0,1,0.143921,0,386
"CEMIP",0,1,0.143783,0,386.25
"BMP8A",0,1,0.14191,0,386.5
"KCP",0,1,0.14191,0,386.5
"LCN2",0,1,0.141842,0,387
"SHC3",0,1,0.139692,0,388
"GPR158",0,1,0.139562,0,388.25
"MATN3",0,1,0.138882,0,388.75
"PYCR3",0,1,0.138722,0,389
"SPSB2",0,1,0.13552,0,390
"GLA",0,1,0.133141,0,390.25
"LPL",0,1,0.133141,0,390.25
"DLG5",0,1,0.131648,0,390.75
"DLX6",0,1,0.129935,0,391.25
"BCAN",0,1,0.122021,0,391.5
"CPNE7",0,1,0.116018,0,391.75
