gene_A	gene_B	combined_score	neighborhood	fusion	cooccurence	coexpression	experiments	database	textmining	evidence_type
MCM5	MCMDC2	0.000506	0	0	0	0	0.369	0	0.25	Experiments
MCM5	MMS22L	0.000517	0	0	0	0	0	0	0.517	Text-mining
MCM5	CCNA2	0.000648	0	0	0	0	0	0	0.648	Text-mining
MCM5	CDKN2A	0.000689	0	0	0	0	0.689	0	0	Experiments
MCM5	ORC6	0.000859	0	0	0	0	0.616	0.65	0	Experiments + Databases
MCM5	MCM10	0.000886	0	0	0	0	0.356	0.5	0.677	Experiments + Databases
MCM5	CLSPN	0.000895	0	0	0	0	0.8	0.5	0	Experiments + Databases
MCM5	WDHD1	0.000896	0	0	0	0	0.896	0	0	Experiments
MCM5	CDT1	0.000919	0	0	0	0	0.58	0.5	0.649	Experiments + Databases
MCM5	CDC7	0.000921	0	0	0	0	0.758	0.5	0.401	Experiments + Databases
MCM5	POLE2	0.000942	0	0	0	0	0.942	0	0	Experiments
MCM5	ORC1	0.00095	0	0	0	0	0.824	0.65	0.256	Experiments + Databases
MCM5	MCM8	0.000979	0	0	0	0	0.449	0.9	0.651	Experiments + Databases
MCM5	GINS4	0.000984	0	0	0	0	0.968	0.54	0	Experiments + Databases
MCM5	GINS1	0.000988	0	0	0	0	0.976	0.54	0	Experiments + Databases
MCM5	GINS2	0.000991	0	0	0	0	0.973	0.54	0.353	Experiments + Databases
MCM5	GINS3	0.000993	0	0	0	0	0.973	0.54	0.525	Experiments + Databases
MCM5	CDC45	0.000998	0	0	0	0	0.979	0.54	0.852	Experiments + Databases
MCM5	MCM7	0.000999	0	0	0	0	0.984	0.9	0.985	Experiments + Databases
MCM5	MCM3	0.000999	0	0	0	0	0.99	0.9	0.987	Experiments + Databases
MCM5	MCM4	0.000999	0	0	0	0	0.98	0.9	0.987	Experiments + Databases
MCM5	MCM2	0.000999	0	0	0	0	0.991	0.9	0.344	Experiments + Databases
MCM5	MCM6	0.000999	0	0	0	0	0.98	0.9	0.987	Experiments + Databases
UPK3A	UPK1A	0.000961	0	0	0	0	0	0	0.961	Text-mining
COCH	COL2A1	0.000405	0	0	0	0	0.405	0	0	Experiments
COCH	COL4A1	0.000405	0	0	0	0	0.405	0	0	Experiments
COCH	ANXA2	0.000438	0	0	0	0	0	0	0.438	Text-mining
POLE2	AURKB	0.000422	0	0	0	0	0	0	0.422	Text-mining
POLE2	UHRF1	0.000475	0	0	0	0	0	0	0.475	Text-mining
POLE2	KIF20A	0.000495	0	0	0	0	0	0	0.495	Text-mining
POLE2	RFC4	0.000499	0	0	0	0	0	0.5	0	Databases
POLE2	RFC3	0.000499	0	0	0	0	0	0.5	0	Databases
POLE2	DTL	0.000499	0	0	0	0	0	0.5	0	Databases
POLE2	PCNA	0.000499	0	0	0	0	0	0.5	0	Databases
POLE2	FEN1	0.000499	0	0	0	0	0	0.5	0	Databases
POLE2	LIG1	0.000539	0	0	0	0	0	0.5	0.116	Databases
POLE2	CLSPN	8e-04	0	0	0	0	0.8	0	0	Experiments
POLE2	MCM7	0.000862	0	0	0	0	0.862	0	0	Experiments
POLE2	MCM2	0.000867	0	0	0	0	0.867	0	0	Experiments
POLE2	MCM6	0.000871	0	0	0	0	0.871	0	0	Experiments
POLE2	WDHD1	0.000872	0	0	0	0	0.872	0	0	Experiments
POLE2	GINS4	0.000895	0	0	0	0	0.895	0	0	Experiments
POLE2	PRIM1	9e-04	0	0	0	0	0	0.9	0	Databases
POLE2	POLG2	9e-04	0	0	0	0	0	0.9	0	Databases
POLE2	MCM4	9e-04	0	0	0	0	0.9	0	0	Experiments
POLE2	GINS2	0.000901	0	0	0	0	0.901	0	0	Experiments
POLE2	PRIM2	0.000902	0	0	0	0	0.062	0.9	0	Experiments + Databases
POLE2	CDC45	0.000903	0	0	0	0	0.902	0	0.052	Experiments
POLE2	GINS3	0.000929	0	0	0	0	0.895	0	0.353	Experiments
POLE2	POLA2	0.000936	0	0	0	0	0	0.9	0.387	Databases
POLE2	GINS1	0.000941	0	0	0	0	0.941	0	0	Experiments
POLE2	POLD1	0.000966	0	0	0	0	0.34	0.9	0.533	Experiments + Databases
POLE2	MCM3	0.000982	0	0	0	0	0.94	0.72	0	Experiments + Databases
BDKRB1	EGF	0.000414	0	0	0	0	0	0	0.414	Text-mining
AURKA	ASPM	0.000414	0	0	0	0	0.314	0	0.182	Experiments
AURKA	CCNB1	0.000445	0	0	0	0	0	0	0.445	Text-mining
AURKA	FAM83D	0.000457	0	0	0	0	0	0	0.458	Text-mining
AURKA	USP21	0.000457	0	0	0	0	0.457	0	0	Experiments
AURKA	PTTG1	0.000459	0	0	0	0	0.329	0	0.227	Experiments
AURKA	CDC20	0.00049	0	0	0	0	0.457	0	0.101	Experiments
AURKA	UBE2S	0.000499	0	0	0	0	0	0.5	0	Databases
AURKA	RRM2	0.000512	0	0	0	0	0	0	0.512	Text-mining
AURKA	CDCA8	0.000599	0	0	0	0	0	0.54	0.166	Databases
AURKA	CCNE2	0.000616	0	0	0	0	0.616	0	0	Experiments
AURKA	SCML2	0.000616	0	0	0	0	0.616	0	0	Experiments
AURKA	CDK1	0.000654	0	0	0	0	0.497	0	0.341	Experiments
AURKA	AURKB	0.000742	0	0	0	0	0.421	0.54	0.11	Experiments + Databases
AURKA	CCNB2	0.000769	0	0	0	0	0.616	0	0.423	Experiments
AURKA	UBE2C	0.000778	0	0	0	0	0.292	0.4	0.521	Experiments + Databases
AURKA	BIRC5	0.000875	0	0	0	0	0.348	0.54	0.618	Experiments + Databases
AURKA	PLK1	0.000879	0	0	0	0	0.462	0	0.784	Experiments
AURKA	INCENP	0.000936	0	0	0	0	0.618	0.54	0.667	Experiments + Databases
AURKA	TACC3	0.000984	0	0	0	0	0.943	0	0.737	Experiments
AURKA	MYCN	0.00099	0	0	0	0	0.96	0	0.776	Experiments
AURKA	TPX2	0.000999	0	0	0	0	0.971	0.9	0.955	Experiments + Databases
PYGB	CEMIP	0.000412	0	0	0	0	0	0	0.412	Text-mining
PYGB	S100A1	0.000441	0	0	0	0	0	0	0.441	Text-mining
MYBL2	RBL1	0.000489	0	0	0	0	0.457	0	0.098	Experiments
MYBL2	CCNA2	0.000647	0	0	0	0	0	0	0.647	Text-mining
MYBL2	LIN37	0.000985	0	0	0	0	0.671	0.9	0.596	Experiments + Databases
MYBL2	FOXM1	0.00099	0	0	0	0	0.184	0.8	0.944	Experiments + Databases
MYBL2	LIN9	0.000999	0	0	0	0	0.965	0.9	0.886	Experiments + Databases
EEF1A2	PFN4	0.000423	0	0	0	0	0	0	0.423	Text-mining
EEF1A2	MAPT	0.000457	0	0	0	0	0.457	0	0	Experiments
TLDC2	ATP6V1C1	0.000626	0	0	0	0	0.626	0	0	Experiments
PIGU	THY1	0.000402	0	0	0	0	0.402	0	0	Experiments
PIGU	GPAA1	0.000998	0	0	0	0	0.966	0.9	0.473	Experiments + Databases
GLA	SORT1	0.000405	0	0	0	0	0.405	0	0	Experiments
ORC6	SPAG5	0.000453	0	0	0	0	0.453	0	0	Experiments
ORC6	LHX4	0.000491	0	0	0	0	0.492	0	0	Experiments
ORC6	MCM8	0.000499	0	0	0	0	0	0.5	0	Databases
ORC6	MCM10	0.000499	0	0	0	0	0	0.5	0	Databases
ORC6	CCNB1	0.000499	0	0	0	0	0	0.5	0	Databases
ORC6	CDK1	0.000499	0	0	0	0	0	0.5	0	Databases
ORC6	CLSPN	0.000499	0	0	0	0	0	0.5	0	Databases
ORC6	MCM3	0.00065	0	0	0	0	0	0.65	0	Databases
ORC6	CDC7	0.000834	0	0	0	0	0.683	0.5	0	Experiments + Databases
ORC6	MCM6	0.000861	0	0	0	0	0.62	0.65	0	Experiments + Databases
ORC6	MCM2	0.000886	0	0	0	0	0.689	0.65	0	Experiments + Databases
ORC6	CDC45	0.000891	0	0	0	0	0.616	0.5	0.479	Experiments + Databases
ORC6	MCM4	0.000893	0	0	0	0	0.708	0.65	0	Experiments + Databases
ORC6	MCM7	0.000902	0	0	0	0	0.734	0.65	0	Experiments + Databases
ORC6	ORC1	0.000978	0	0	0	0	0.533	0.9	0.585	Experiments + Databases
ORC6	CDT1	0.000986	0	0	0	0	0.292	0.8	0.913	Experiments + Databases
AQP8	AQP10	0.000505	0	0	0	0	0	0.5	0.052	Databases
OIP5	UBE2T	0.000476	0	0	0	0	0.476	0	0	Experiments
OIP5	CENPU	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPW	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPH	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPI	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPO	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPK	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	CENPL	0.000499	0	0	0	0	0	0.5	0	Databases
OIP5	HJURP	0.000716	0	0	0	0	0.457	0.5	0	Experiments + Databases
OIP5	CENPA	0.000745	0	0	0	0	0.443	0.5	0.159	Experiments + Databases
AGO2	IGF2BP1	0.00042	0	0	0	0	0.42	0	0	Experiments
AGO2	TBKBP1	0.000472	0	0	0	0	0.472	0	0	Experiments
AGO2	H2BC9	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	H2AZ1	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	H2BC15	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	H2BC11	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	H2AX	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	H2BC17	0.000499	0	0	0	0	0	0.5	0	Databases
AGO2	EZH2	0.000517	0	0	0	0	0.292	0	0.346	Experiments
AGO2	TSEN54	0.00054	0	0	0	0	0	0.54	0	Databases
