"Gene","HCC_Specific_Drug","Development_Stage","Druggable_Evidence","GEO_Validation","COX_Prognostic","PPI_Network","ML_Selection","Immune_Relevance","Composite","Rank"
"PLK1",1,1,1,0.9,1,1,0.5,0.5,0.89,1
"CDK1",0.8,0.9,1,0.3,0.6,1,0.5,0.5,0.735,2
"SPP1",0.7,0.4,0.5,1,0.7,0.3,1,1,0.675,3
"BUB1B",0.2,0.3,0.6,0.9,0.6,0.8,0.5,0.3,0.485,4
"NR0B1",0,0,0.1,0.5,1,0,1,0.3,0.295,5
