"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","ENSEMBL","hgnc_symbol","gene_biotype"
"ENSG00000258927.2",3.75410098679784,3.65385064353871,0.657842017118442,5.55429806618882,2.78729519893964e-08,9.37068774913444e-08,"Upregulated","ENSG00000258927",NA,NA
"ENSG00000287445.1",4.78803944050068,1.503507793046,0.27082847874101,5.5515128986261,2.83207814612465e-08,9.51702191919178e-08,"Upregulated","ENSG00000287445","","lncRNA"
"ENSG00000248771.5",41.4154321529572,3.31328272074687,0.596929761934519,5.55054033494535,2.84787992612674e-08,9.56729392859309e-08,"Upregulated","ENSG00000248771","SMIM31","protein_coding"
"ENSG00000149243.16",11.3524571421042,1.5775419922259,0.284338733630013,5.54810796294333,2.88777546041511e-08,9.69129428838556e-08,"Upregulated","ENSG00000149243","KLHL35","protein_coding"
"ENSG00000160326.14",444.977205890381,1.1039060163658,0.199044378322805,5.54602961242901,2.92229354021032e-08,9.80568824460888e-08,"Upregulated","ENSG00000160326","SLC2A6","protein_coding"
"ENSG00000180638.19",24.2977288041546,1.14102282790723,0.205746543492634,5.5457691222311,2.92664799553141e-08,9.81885002781238e-08,"Upregulated","ENSG00000180638","SLC47A2","protein_coding"
"ENSG00000183569.18",40.0896242743644,1.10468514618598,0.199208975375141,5.54535830579766,2.9335281585705e-08,9.8404803784397e-08,"Upregulated","ENSG00000183569","SERHL2","protein_coding"
"ENSG00000123689.6",5012.84271249977,-1.49029148645445,0.268803655002927,-5.54416377425454,2.9536228919266e-08,9.90642590135629e-08,"Downregulated","ENSG00000123689","G0S2","protein_coding"
"ENSG00000124212.6",344.73171591553,-1.61154893901786,0.290683419701451,-5.54400020707412,2.95638483758833e-08,9.91422652085906e-08,"Downregulated","ENSG00000124212","PTGIS","protein_coding"
"ENSG00000236267.1",30.1589727741225,-1.49788329149923,0.270222149086848,-5.54315512833045,2.97069454474185e-08,9.95780666597586e-08,"Downregulated","ENSG00000236267","LNC-RHL1","lncRNA"
"ENSG00000279479.1",2.63472570835828,3.55807586089415,0.641885336978429,5.54316426301809,2.97053950853516e-08,9.95780666597586e-08,"Upregulated","ENSG00000279479","","TEC"
"ENSG00000223886.3",8.05484380265554,1.3440204237212,0.242649352201476,5.53894091011312,3.04306288347228e-08,1.01868658823748e-07,"Upregulated","ENSG00000223886","","processed_pseudogene"
"ENSG00000119139.21",33.0604135666224,-1.1661483283938,0.210569819348491,-5.53806016456628,3.05840205414637e-08,1.02367072140696e-07,"Downregulated","ENSG00000119139","TJP2","protein_coding"
"ENSG00000275672.1",3.5918578973647,1.72731775369092,0.311936951117402,5.53739384674828,3.07005654081296e-08,1.02742027639397e-07,"Upregulated","ENSG00000275672","","lncRNA"
"ENSG00000230583.7",9.99949543778395,1.29428545631057,0.233781515670682,5.5363036405914,3.08921818663982e-08,1.0335285455155e-07,"Upregulated","ENSG00000230583","GTF2IRD1P1","transcribed_unprocessed_pseudogene"
"ENSG00000265095.1",6.57299969437451,1.54128561219211,0.278521677509423,5.53380844885931,3.13351177539488e-08,1.04819312221818e-07,"Upregulated","ENSG00000265095","FTLP12","transcribed_processed_pseudogene"
"ENSG00000254656.3",6.29325524497353,3.44659699125557,0.622905505029104,5.53309765835917,3.14624177165468e-08,1.05214176062543e-07,"Upregulated","ENSG00000254656","RTL1","protein_coding"
"ENSG00000213777.5",4.04981840087359,2.00355574845,0.362114025434142,5.53294158117161,3.14904376693344e-08,1.05292387205644e-07,"Upregulated","ENSG00000213777","","transcribed_processed_pseudogene"
"ENSG00000002079.14",4.09162468934843,1.62412682876272,0.2935506116058,5.53269781956275,3.15342477128486e-08,1.0542336380542e-07,"Upregulated","ENSG00000002079",NA,NA
"ENSG00000185269.12",4465.21845361283,2.19406785786873,0.396850918512863,5.52869542570459,3.22620899477481e-08,1.07729881667741e-07,"Upregulated","ENSG00000185269","NOTUM","protein_coding"
"ENSG00000164691.18",97.7512753497803,-1.08428646228286,0.196197025702708,-5.52651834756071,3.26648113652228e-08,1.08994592238919e-07,"Downregulated","ENSG00000164691","TAGAP","protein_coding"
"ENSG00000100665.12",12161.6652160361,-1.17188300493489,0.212090897347978,-5.5253809549977,3.2877144136407e-08,1.09670896128637e-07,"Downregulated","ENSG00000100665","SERPINA4","protein_coding"
"ENSG00000159167.12",594.758475216038,1.07666628315107,0.194859258931863,5.52535347333717,3.28822910471198e-08,1.09671969992815e-07,"Upregulated","ENSG00000159167","STC1","protein_coding"
"ENSG00000225630.1",9736.02637239931,-1.09756402754413,0.19864622575958,-5.52521963781231,3.29073676457662e-08,1.0973950507457e-07,"Downregulated","ENSG00000225630","MTND2P28","unprocessed_pseudogene"
"ENSG00000249856.1",4.0866959366585,1.64992133894991,0.29901623940339,5.51783188177975,3.43207518075678e-08,1.14285187311166e-07,"Upregulated","ENSG00000249856","","lncRNA"
"ENSG00000262585.1",17.3311389961645,-1.81529989405395,0.329031782993547,-5.51709587912227,3.44647426586266e-08,1.14731048715668e-07,"Downregulated","ENSG00000262585","LINC01979","lncRNA"
"ENSG00000198729.5",9.67683340625125,2.35987127202241,0.427826506388034,5.51595386631336,3.46893255971083e-08,1.15444856635765e-07,"Upregulated","ENSG00000198729","PPP1R14C","protein_coding"
"ENSG00000158164.7",5.23414079437484,1.45718017621363,0.264245191079971,5.51450026491735,3.49772380583955e-08,1.16334887484245e-07,"Upregulated","ENSG00000158164","TMSB15A","protein_coding"
"ENSG00000157343.9",24.3066650312478,1.0527421025568,0.190954702321399,5.51304623431014,3.52675537084481e-08,1.17266163808225e-07,"Upregulated","ENSG00000157343","ARMC12","protein_coding"
"ENSG00000168038.11",306.760225022632,1.1118348001613,0.201677394432595,5.51293715038993,3.52894276931195e-08,1.17321733430541e-07,"Upregulated","ENSG00000168038","ULK4","protein_coding"
"ENSG00000231240.1",5.12836659235684,4.50946645342413,0.818038672029862,5.51253456298642,3.53702702334205e-08,1.17556110894231e-07,"Upregulated","ENSG00000231240","KLF2P1","transcribed_processed_pseudogene"
"ENSG00000079101.16",4.92256076156912,1.86515383843606,0.338411464644645,5.51149719586065,3.55794098744248e-08,1.18216633013547e-07,"Upregulated","ENSG00000079101","CLUL1","protein_coding"
"ENSG00000261580.1",3.27141988103784,3.74574857411386,0.679868779618091,5.50951696328517,3.5981972004535e-08,1.19519249402759e-07,"Upregulated","ENSG00000261580","ENPP7P13","processed_pseudogene"
"ENSG00000091844.8",16.0921556193152,1.15066797681064,0.208853098126391,5.50946089444308,3.59934343268873e-08,1.19539854215393e-07,"Upregulated","ENSG00000091844","RGS17","protein_coding"
"ENSG00000275993.3",813.654441716219,-1.1681859948776,0.212156948791361,-5.50623489606466,3.66589322145383e-08,1.21696732764197e-07,"Downregulated","ENSG00000275993","","artifact"
"ENSG00000180914.10",46.0959158405597,1.26875696974354,0.230429294246408,5.50605761256554,3.66958482528027e-08,1.21801493981631e-07,"Upregulated","ENSG00000180914","OXTR","protein_coding"
"ENSG00000248319.2",14.5020907878767,-2.16617643674007,0.393455223683478,-5.50552211878293,3.68075740703697e-08,1.22136665491898e-07,"Downregulated","ENSG00000248319","LINC02275","lncRNA"
"ENSG00000188763.5",32.9722407393997,2.09063767736663,0.379810323782348,5.50442562104941,3.70373784721304e-08,1.22827489447261e-07,"Upregulated","ENSG00000188763","FZD9","protein_coding"
"ENSG00000172985.11",281.113984679348,1.25920479508793,0.228798763866902,5.50354719495092,3.72224826405484e-08,1.23405342826672e-07,"Upregulated","ENSG00000172985","SH3RF3","protein_coding"
"ENSG00000283511.1",22.8971093581249,1.22196716922997,0.222078954633546,5.50239968143918,3.74656415548731e-08,1.24157170512067e-07,"Upregulated","ENSG00000283511","","transcribed_unitary_pseudogene"
"ENSG00000213967.11",85.1489371886294,1.25385857469226,0.227879210771048,5.50229470450474,3.74879629927593e-08,1.24213031898749e-07,"Upregulated","ENSG00000213967","ZNF726","protein_coding"
"ENSG00000186458.5",57.0164944960094,2.23798387213041,0.406962497170594,5.49923859738917,3.81434712617659e-08,1.26329754011356e-07,"Upregulated","ENSG00000186458","DEFB132","protein_coding"
"ENSG00000248510.2",5.09844203358117,4.38115278562509,0.796874571605766,5.49792017681869,3.84296805860388e-08,1.27240588451662e-07,"Upregulated","ENSG00000248510","LINC02267","lncRNA"
"ENSG00000174307.7",870.260940231117,1.27682111708761,0.232249231425322,5.49763333661734,3.84922245631525e-08,1.27429109280579e-07,"Upregulated","ENSG00000174307","PHLDA3","protein_coding"
