"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)","17/46",6.09577754472654e-05,0.00483783072413297,0,0,3.74127087399696,36.310265231262,"CDKN2B;CDKN2C;CDKN2A;CCNF;CKS1B;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CCNI2;CKS2;CCNP;CCNO;CCNJL;CDK5R1;MCM2","MF","Up",0.369565217391304,0.00483783072413297,17
"Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315)","14/34",6.84059069868445e-05,0.00497652973329294,0,0,4.46489283074649,42.8185516423713,"CHRNA1;CHRNB2;GABRA2;GRIA2;CHRNA3;CHRNB4;CHRNA5;GRIK4;GRIK2;GRIN2C;GRIN2D;CHRND;GRIN2A;GRIN3B","MF","Up",0.411764705882353,0.00497652973329294,14
"High Voltage-Gated Calcium Channel Activity (GO:0008331)","11/23",8.03697366669851e-05,0.00532155271642258,0,0,5.84311554078996,55.0939935535682,"CACNB1;CACNA1I;CACNB3;CACNB4;SCN4A;CACNA1C;CACNA1S;SCN5A;CACNA1E;CACNA1G;SCN1A","MF","Up",0.478260869565217,0.00532155271642258,11
"Potassium Channel Activity (GO:0005267)","24/79",8.53399061052876e-05,0.00532155271642258,0,0,2.78796870785001,26.1201118726537,"KCNG1;KCNH2;HCN4;KCNG2;KCNH3;HCN3;KCNF1;KCNH4;KCNH5;KCNC1;KCNK9;KCNK10;KCNJ11;KCNC2;KCNK12;KCNE5;GRIK4;GRIK2;LRRC52;KCNU1;KCNQ3;KCNMB3;KCNN1;HCN2","MF","Up",0.30379746835443,0.00532155271642258,24
"Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824)","15/40",0.00013522336245553,0.00786999969491187,0,0,3.82735674676525,34.0963237567141,"GABRA2;GRIA2;GABRA3;GRIK4;HTR3A;GRIK2;HTR3B;GRIN2C;GABRG3;GABRG2;GRIN2D;CHRND;GRIN2A;GRIN3B;GABRE","MF","Up",0.375,0.00786999969491187,15
"GABA Receptor Activity (GO:0016917)","10/21",0.000178759239868698,0.00956188194993316,0,0,5.7930224756793,49.9907176380999,"GABRA2;GABRQ;GABRR3;GABBR2;GABRR2;GABRA3;GABRE;GABRG3;GABRD;GABRG2","MF","Up",0.476190476190476,0.00956188194993316,10
"Microtubule Binding (GO:0008017)","53/239",0.000186199304866969,0.00956188194993316,0,0,1.82634831936331,15.6859448916369,"SPEF1;MAST2;MAST1;KIF14;KIF15;KIF5A;KIF21B;KIF1A;GTSE1;DLGAP5;APC2;GAS2L3;SGIP1;VASH2;KIF23;KIF22;KIF7;CCSAP;DNM3;CLIP2;EML6;PSRC1;KIFC2;NAV3;KIFC1;MAP1B;MAP1A;DCX;BIRC5;KIF2C;KIF20A;ARHGEF2;MAPT;SAXO1;NDRG1;SKA1;RACGAP1;MAP2;HAUS7;FAM83D;DYNC1I1;SPAG5;PLK1;FHDC1;CENPE;KIF18A;KIF18B;PRC1;GJB6;REEP2;CCDC170;FGF13;SPC24","MF","Up",0.221757322175732,0.00956188194993316,53
"Metallopeptidase Activity (GO:0008237)","32/124",0.000207032745049668,0.00971595850029048,0,0,2.22412008281573,18.8663957194918,"ADAMDEC1;ADAM22;ADAM21;PHEX;ADAMTS16;ADAMTS14;MMP24;ADAMTS18;ADAM23;PRSS2;ADAMTS6;MMP7;MMP1;MMP3;ECEL1;ADAM11;ADAM32;MMEL1;MMP9;MMP10;ADAMTS20;MMP12;MMP11;DEPDC1B;MMP14;ADAM15;MEP1A;ADAM12;MMP17;DPEP1;TLL2;TRABD2A","MF","Up",0.258064516129032,0.00971595850029048,32
"DNA Secondary Structure Binding (GO:0000217)","13/33",0.000211458432423275,0.00971595850029048,0,0,4.14444033985962,35.0681078157209,"BLM;XRCC2;XRCC3;HMGB2;HMGA1;HMGA2;NR0B1;RAD51AP1;RECQL4;NEIL3;MSH2;CLSPN;MAPT","MF","Up",0.393939393939394,0.00971595850029048,13
"GABA-A Receptor Activity (GO:0004890)","9/18",0.000238786087656523,0.0104230127262072,0,0,6.37071191442272,53.1313706524215,"GABRA2;GABRQ;GABRR3;GABRR2;GABRA3;GABRE;GABRG3;GABRD;GABRG2","MF","Up",0.5,0.0104230127262072,9
