"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Terpenoid Metabolic Process (GO:0006721)","4/7",0.000303871045422876,0.00722478163224593,0,0,22.4466250371692,181.793131765398,"CYP2C9;CYP2E1;CYP2C19;CYP3A4","BP","Down",0.571428571428571,0.00722478163224593,4
"Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372)","4/7",0.000303871045422876,0.00722478163224593,0,0,22.4466250371692,181.793131765398,"CETP;LIPC;LCAT;APOA5","BP","Down",0.571428571428571,0.00722478163224593,4
"Gluconeogenesis (GO:0006094)","8/32",0.000306064236293992,0.00722478163224593,0,0,5.62548492987168,45.5198239143475,"PCK1;ENO3;PPARGC1A;G6PC1;SLC39A14;FBP1;PGM1;PCK2","BP","Down",0.25,0.00722478163224593,8
"Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134)","8/32",0.000306064236293992,0.00722478163224593,0,0,5.62548492987168,45.5198239143475,"PLK3;WEE1;DCUN1D3;FHL1;CCL2;INHBA;KLF4;MYO16","BP","Down",0.25,0.00722478163224593,8
"Phosphatidylinositol 3-Kinase Signaling (GO:0014065)","8/32",0.000306064236293992,0.00722478163224593,0,0,5.62548492987168,45.5198239143475,"LTK;FCGR3A;CD160;PIK3C2G;GATA3;IGF1;MYO16;ZFP36L1","BP","Down",0.25,0.00722478163224593,8
"Positive Regulation Of Synapse Assembly (GO:0051965)","8/32",0.000306064236293992,0.00722478163224593,0,0,5.62548492987168,45.5198239143475,"PTPRD;CLSTN2;NRXN1;SLITRK3;SLITRK6;WNT7A;IL1RAP;EPHB1","BP","Down",0.25,0.00722478163224593,8
"Porphyrin-Containing Compound Catabolic Process (GO:0006787)","5/12",0.000316932858715997,0.00733171346496341,0,0,12.0331632653061,96.9490377835051,"SLCO1B1;AMBP;SLCO2B1;SLCO1B3;HMOX1","BP","Down",0.416666666666667,0.00733171346496341,5
"Positive Regulation Of Vasoconstriction (GO:0045907)","5/12",0.000316932858715997,0.00733171346496341,0,0,12.0331632653061,96.9490377835051,"FGB;FGA;TBXA2R;FGG;AVPR1A","BP","Down",0.416666666666667,0.00733171346496341,5
"Steroid Catabolic Process (GO:0006706)","5/12",0.000316932858715997,0.00733171346496341,0,0,12.0331632653061,96.9490377835051,"SULT1E1;CYP1A2;HSD17B6;CYP3A4;FGF23","BP","Down",0.416666666666667,0.00733171346496341,5
"Negative Regulation Of Cellular Process (GO:0048523)","50/537",0.000333359831201939,0.0075657907503567,0,0,1.7561721025739,14.0604197663555,"CDA;BMP10;FHL1;WFDC1;RND1;ADAMTS1;MYC;CCN5;NKX3-1;IL10;KLF10;KLF11;MAP2K1;DSCAM;DUSP1;IGFBP3;P3H2;APOA1;NRG1;CBFA2T3;TENT5C;RHOB;TMIGD3;AZGP1;SFRP1;SFRP5;IL1B;ATF5;FBP1;HPGD;DCUN1D3;TACSTD2;PLG;GATA3;THBS1;BRINP2;BRINP1;WNT11;AGR3;CCL23;GDF2;LILRB1;INHBA;PODN;MYO16;BMP5;NR4A1;IL6;SCGB3A1;APOBEC3A","BP","Down",0.0931098696461825,0.0075657907503567,50
"Negative Regulation Of T Cell Activation (GO:0050868)","10/49",0.000335563334418288,0.0075657907503567,0,0,4.3316086006669,34.6515686433812,"IL10;CD274;CR1;SDC4;FGL1;LILRB1;VSIG4;PDCD1LG2;VTCN1;FCGR2B","BP","Down",0.204081632653061,0.0075657907503567,10
"Positive Regulation Of miRNA Metabolic Process (GO:2000630)","10/49",0.000335563334418288,0.0075657907503567,0,0,4.3316086006669,34.6515686433812,"IL10;FOSL1;EGR1;NGFR;JUN;MYC;ATOH8;FOS;GATA3;KLF4","BP","Down",0.204081632653061,0.0075657907503567,10
"Regulation Of T Cell Proliferation (GO:0042129)","13/77",0.000335772845981248,0.0075657907503567,0,0,3.4361370278777,27.4859201337223,"IL10;CD274;CR1;SDC4;ARG1;LILRB1;PDCD1LG2;CD1D;VTCN1;IL6;IL1B;VSIG4;IL6ST","BP","Down",0.168831168831169,0.0075657907503567,13
"Bile Acid Biosynthetic Process (GO:0006699)","7/25",0.000343286551985436,0.00758728876044243,0,0,6.55928244881733,52.3230355373177,"CYP39A1;SCP2;ACOX2;AKR1D1;CYP8B1;SLC27A2;SLC27A5","BP","Down",0.28,0.00758728876044243,7
"Purine Nucleoside Bisphosphate Metabolic Process (GO:0034032)","7/25",0.000343286551985436,0.00758728876044243,0,0,6.55928244881733,52.3230355373177,"ACSM3;ACOT12;ACOT2;ACSM2A;ACSM5;GLYAT;MLYCD","BP","Down",0.28,0.00758728876044243,7
"Ribonucleoside Bisphosphate Metabolic Process (GO:0033875)","7/25",0.000343286551985436,0.00758728876044243,0,0,6.55928244881733,52.3230355373177,"ACSM3;ACOT12;ACOT2;ACSM2A;ACSM5;GLYAT;MLYCD","BP","Down",0.28,0.00758728876044243,7
