"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"E2F Targets",1e-50,2.5e-50,NA,0.98996138996139,4.32385524637437,32,"CDKN3;UBE2T;KIF4A;BIRC5;CCNB2;MELK;CDC20;SPC24;MXD3;KIF2C;TOP2A;KIF18B;PTTG1;MYBL2;CDK1;DLGAP5;CDCA3;CDCA8;HMMR;PLK1;AURKB;TRIP13;MKI67;EZH2;DEPDC1;RACGAP1;RRM2;CDKN2A;SPC25;CENPM;AURKA;CENPE"
"G2-M Checkpoint",1e-50,2.5e-50,NA,0.987449314539486,4.36118606142349,33,"CDKN3;CENPF;TROAP;KIF4A;BIRC5;NEK2;CCNB2;CDC20;KIF2C;TOP2A;UBE2C;NDC80;PTTG1;EXO1;MYBL2;CDK1;BUB1;CENPA;E2F1;TTK;HMMR;PLK1;AURKB;MKI67;EZH2;RACGAP1;CDC6;AURKA;CENPE;TRAIP;PBK;KIF23;CDC45"
"Mitotic Spindle",4.97362228317668e-32,8.28937047196114e-32,1.46752397671296,0.984982672314209,3.6338236306458,18,"CENPF;KIF4A;BIRC5;NEK2;CCNB2;KIF2C;TOP2A;NDC80;CDK1;DLGAP5;BUB1;TTK;ANLN;PLK1;RACGAP1;AURKA;CENPE;KIF23"
"Spermatogenesis",2.27881484592766e-18,2.84851855740958e-18,1.10533657731401,0.983852364475202,2.97791108641816,10,"CDKN3;NEK2;CCNB2;KIF2C;CDK1;BUB1;TTK;EZH2;AURKA;NCAPH"
"Glycolysis",4.19733491093953e-13,4.19733491093953e-13,0.932595211336209,0.985590778097983,2.66608755175352,7,"GPC3;KIF20A;CDK1;CENPA;HMMR;DEPDC1;AURKA"
